"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId"
"The Mercury Program","Adler","M","2","Barrera","449.12281","free","New York-Newark-Jersey City, NY-NJ-PA","174","Marianas","100"
"Duran Duran","Lily","F","69","Koch","321.88036","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","The Seventh Stranger","15"
"Little Boots","Lily","F","70","Koch","195.94404","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Meddle","15"
"Johnossi","Lily","F","71","Koch","174.2624","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Glory Days To Come","15"
"BjÃÂ¶rk","Lily","F","72","Koch","348.57751","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Undo","15"
"Black Eyed Peas","Lily","F","73","Koch","226.37669","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Hey Mama","15"
"DecembeRadio","Lily","F","74","Koch","249.62567","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","Find You Waiting","15"
"Bonobo","Lily","F","75","Koch","270.41914","paid","Chicago-Naperville-Elgin, IL-IN-WI","172","1009","15"
"Five Iron Frenzy","Tegan","F","1","Levine","236.09424","free","Portland-South Portland, ME","194","Canada","80"
"Morcheeba","Tegan","F","2","Levine","347.71546","free","Portland-South Portland, ME","194","The Sea","80"
"The Avett Brothers","Tegan","F","3","Levine","307.9571","free","Portland-South Portland, ME","194","All My Mistakes (US4BW0700133)","80"
"Dave Darell","Aiden","M","0","Hess","217.33832","free","La Crosse-Onalaska, WI-MN","197","Children","86"
"Priestess","Ryan","M","1","Smith","190.45832","free","San Jose-Sunnyvale-Santa Clara, CA","183","Talk To Her","26"
"Arcade Fire","Ryan","M","2","Smith","169.19465","free","San Jose-Sunnyvale-Santa Clara, CA","183","I'm Sleeping In A Submarine","26"
"Daft Punk","Ryan","M","3","Smith","211.69587","free","San Jose-Sunnyvale-Santa Clara, CA","183","Crescendolls","26"
"Nickel Creek","Ryan","M","4","Smith","255.13751","free","San Jose-Sunnyvale-Santa Clara, CA","183","When In Rome","26"
"Squeeze","Ryan","M","5","Smith","229.56363","free","San Jose-Sunnyvale-Santa Clara, CA","183","Footprints","26"
"Creedence Clearwater Revival","Samuel","M","0","Gonzalez","175.80363","free","Houston-The Woodlands-Sugar Land, TX","60","Sweet Hitch-Hiker","61"
"Kierra Sheard","Samuel","M","1","Gonzalez","299.02322","free","Houston-The Woodlands-Sugar Land, TX","60","Love Like Crazy (Extended Mix)","61"
"Greg Laswell","Mohammad","M","1","Rodriguez","251.08853","free","Sacramento--Roseville--Arden-Arcade, CA","193","Comes And Goes ( In Waves )","88"
"Pavement","Mohammad","M","3","Rodriguez","99.16036","free","Sacramento--Roseville--Arden-Arcade, CA","193","Mercy:The Laundromat","88"
"Sixx A.M.","Mohammad","M","4","Rodriguez","280.58077","free","Sacramento--Roseville--Arden-Arcade, CA","193","Courtesy Call (Explicit)","88"
"Leonard Cohen","Mohammad","M","5","Rodriguez","267.67628","free","Sacramento--Roseville--Arden-Arcade, CA","193","I'm Your Man","88"
"The Tallest Man On Earth","Joseph","M","0","Gutierrez","203.62404","free","Columbia, SC","167","The Wild Hunt","75"
"My Chemical Romance","Joseph","M","1","Gutierrez","161.90649","free","Columbia, SC","167","Teenagers (Album Version)","75"
"Wendy Rene","Joseph","M","2","Gutierrez","182.46485","free","Columbia, SC","167","After Laughter (Comes Tears) (LP Version)","75"
"Jack Johnson / Paula Fuga","Joseph","M","3","Gutierrez","178.33751","free","Columbia, SC","167","Country Road","75"
"Tub Ring","Joseph","M","4","Gutierrez","233.69098","free","Columbia, SC","167","Invalid","75"
"No Doubt","Mohammad","M","0","Rodriguez","44.93016","free","Sacramento--Roseville--Arden-Arcade, CA","205","BND","88"
"Katy Perry","Mohammad","M","1","Rodriguez","179.40853","free","Sacramento--Roseville--Arden-Arcade, CA","205","I Kissed A Girl","88"
"Neutral Milk Hotel","Joseph","M","5","Gutierrez","248.37179","free","Columbia, SC","167","Ghost","75"
"Dwight Yoakam","Ava","F","0","Robinson","239.3073","free","New Haven-Milford, CT","156","You're The One","50"
"Ella Fitzgerald","Joseph","M","6","Gutierrez","427.15383","free","Columbia, SC","167","On Green Dolphin Street (Medley) (1999 Digital Remaster)","75"
"Tony Rohr","Ava","F","1","Robinson","403.09506","free","New Haven-Milford, CT","156","Van Comp","50"
"Braid","Joseph","M","7","Gutierrez","222.74567","free","Columbia, SC","167","Divers","75"
"Fourmost","Joseph","M","8","Gutierrez","113.6322","free","Columbia, SC","167","Hello Little Girl","75"
"Catupecu Machu","Joseph","M","9","Gutierrez","212.32281","free","Columbia, SC","167","Hormigas","75"
"Creed","Joseph","M","10","Gutierrez","329.87383","free","Columbia, SC","167","Weathered","75"
"Ennio Morricone","Joseph","M","11","Gutierrez","215.01342","free","Columbia, SC","167","Chi Mai (El Profesional)","75"
"Down To The Bone","Sylvie","F","0","Cruz","333.76608","free","Washington-Arlington-Alexandria, DC-VA-MD-WV","182","Keep On Keepin' On","10"
"Three Drives","Sylvie","F","1","Cruz","411.6371","free","Washington-Arlington-Alexandria, DC-VA-MD-WV","182","Greece 2000","10"
"Sebastien Tellier","Sylvie","F","2","Cruz","377.73016","free","Washington-Arlington-Alexandria, DC-VA-MD-WV","182","Kilometer","10"
"Lonnie Gordon","Sylvie","F","3","Cruz","181.21098","free","Washington-Arlington-Alexandria, DC-VA-MD-WV","182","Catch You Baby (Steve Pitron & Max Sanna Radio Edit)","10"
"Charttraxx Karaoke","Ava","F","0","Robinson","225.17506","free","New Haven-Milford, CT","207","Fireflies","50"
"Ska-P","Ava","F","1","Robinson","220.21179","free","New Haven-Milford, CT","207","NiÃÂ±o Soldado","50"
"Dwight Yoakam","Ava","F","2","Robinson","239.3073","free","New Haven-Milford, CT","207","You're The One","50"
"Radiohead","Ayleen","F","0","Wise","130.82077","free","Columbia, SC","70","Pop Is Dead","71"
"Scouting for Girls","Ayleen","F","1","Wise","201.1424","free","Columbia, SC","70","The Mountains Of Navaho","71"
"Alliance Ethnik","Ayleen","F","2","Wise","195.94404","free","Columbia, SC","70","SinceritÃÂ© Et Jalousie","71"
"OutKast","Ayleen","F","3","Wise","227.52608","free","Columbia, SC","70","Ova Da Wudz","71"
"Bloodhound Gang","Kaleb","M","0","Cook","260.20526","free","Yuba City, CA","53","Uhn Tiss Uhn Tiss Uhn Tiss","54"
"Rammstein","Isaac","M","0","Valdez","228.46649","free","Saginaw, MI","112","Adios","3"
"Gershon Kingsley","Isaac","M","1","Valdez","146.57261","free","Saginaw, MI","112","Pop Corn","3"
"The Rakes","Isaac","M","2","Valdez","150.59546","free","Saginaw, MI","112","Strasbourg","3"
"Muse","Harper","M","1","Barrett","209.50159","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Supermassive Black Hole (Twilight Soundtrack Version)","42"
"Beastie Boys","Harper","M","2","Barrett","161.56689","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Lighten Up","42"
"Shakira","Harper","M","3","Barrett","145.84118","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Pienso En Ti","42"
"Selena","Harper","M","4","Barrett","172.66893","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Amor Prohibido","42"
"Kid Cudi Vs Crookers","Harper","M","5","Barrett","162.97751","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Day 'N' Nite","42"
"Rise Against","Harper","M","6","Barrett","179.59138","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Black Masks & Gasoline","42"
"Fall Out Boy","Harper","M","7","Barrett","211.69587","paid","New York-Newark-Jersey City, NY-NJ-PA","275","I'm Like A Lawyer With The Way I'm Always Trying To Get You Off (Me & You)","42"
"Jack Johnson","Harper","M","8","Barrett","196.12689","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Staple It Together","42"
"Twista feat. Kayne West & Jamie Foxx","Harper","M","9","Barrett","212.55791","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Slow Jamz (Feat. Kanye West & Jamie Foxx) (Edited Album Version)","42"
"Train","Harper","M","10","Barrett","216.76363","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Hey_ Soul Sister","42"
"Rihanna","Harper","M","11","Barrett","293.82485","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Rehab","42"
"Man Man","Harper","M","12","Barrett","222.45832","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Van Helsing Boombox","42"
"Ween","Harper","M","13","Barrett","276.13995","paid","New York-Newark-Jersey City, NY-NJ-PA","275","The Stallion","42"
"Charttraxx Karaoke","Harper","M","14","Barrett","225.17506","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Fireflies","42"
"Digitalism","Harper","M","15","Barrett","208.24771","paid","New York-Newark-Jersey City, NY-NJ-PA","275","I Want I Want","42"
"Dispatch","Harper","M","16","Barrett","247.50975","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Railway","42"
"Postal Service","Harper","M","17","Barrett","294.47791","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Clark Gable (Album)","42"
"Patricia Barber","Harper","M","18","Barrett","317.83138","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Phaeton","42"
"Enur","Harper","M","19","Barrett","203.4673","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Ucci Ucci feat. Nicki Minaj & The Chopper City Boyz","42"
"Hybrid","Harper","M","20","Barrett","379.61098","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Choke","42"
"Riverside","Harper","M","21","Barrett","236.2771","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Stuck Between","42"
"Enigma","Harper","M","22","Barrett","272.48281","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Smell Of Desire.","42"
"Arcade Fire","Harper","M","23","Barrett","267.80689","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Headlights Look Like Diamonds","42"
"Spoon","Harper","M","25","Barrett","274.36363","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Out Go The Lights","42"
"The Wannadies","Harper","M","26","Barrett","170.86649","paid","New York-Newark-Jersey City, NY-NJ-PA","275","You & Me Song","42"
"Tricky","Harper","M","27","Barrett","261.43302","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Girls (Album version)","42"
"Tony Rice","Harper","M","28","Barrett","321.98485","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Wayfaring Stranger","42"
"Rasheeda","Harper","M","29","Barrett","212.40118","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Sweep The Flo (Featuring Diamond)","42"
"George Younce","Harper","M","30","Barrett","191.68608","paid","New York-Newark-Jersey City, NY-NJ-PA","275","This Old House w/ When The Saints Medley","42"
"Alex Gopher","Harper","M","31","Barrett","221.6224","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Brain Leech","42"
"Aphex Twin","Harper","M","32","Barrett","430.18404","paid","New York-Newark-Jersey City, NY-NJ-PA","275","Didgeridoo","42"
"Emmanuel Moire","Harper","M","33","Barrett","277.08036","paid","New York-Newark-Jersey City, NY-NJ-PA","275","LÃÂ  OÃÂ¹ Je Pars","42"
"Josh Turner","Harper","M","34","Barrett","212.16608","paid","New York-Newark-Jersey City, NY-NJ-PA","275","I Wouldn't Be A Man","42"
"Carlos Y JosÃÂ©","Chloe","F","0","Cuevas","166.45179","free","San Francisco-Oakland-Hayward, CA","336","Soy AlbaÃÂ±il","49"
"Motionless in White","Cecilia","F","0","Owens","217.57342","free","Atlanta-Sandy Springs-Roswell, GA","288","Ghost In The Mirror","6"
"Feist","Layla","F","0","Griffin","184.94649","paid","Lake Havasu City-Kingman, AZ","395","My Moon My Man","24"
"Postal Service","Tegan","F","0","Levine","300.53832","paid","Portland-South Portland, ME","398","We Will Become Silhouettes (Album)","80"
"Stevie Ray Vaughan And Double Trouble","Tegan","F","1","Levine","258.82077","paid","Portland-South Portland, ME","398","Life Without You","80"
"AFI","Hannah","F","0","Calhoun","176.48281","free","Los Angeles-Long Beach-Anaheim, CA","166","Miseria Cantare--The Beginning","64"
"Lonnie Gordon","Sara","F","3","Johnson","181.21098","paid","Winston-Salem, NC","276","Catch You Baby (Steve Pitron & Max Sanna Radio Edit)","95"
"Harry Connick_ Jr.","Sara","F","4","Johnson","197.09342","paid","Winston-Salem, NC","276","My Blue Heaven","95"
"Andres Calamaro","Sara","F","5","Johnson","122.33098","paid","Winston-Salem, NC","276","Crucificame","95"
"Tub Ring","Sara","F","6","Johnson","233.69098","paid","Winston-Salem, NC","276","Invalid","95"
"Brian Poole & The Tremeloes","Kimber","F","0","Norris","115.66975","free","New York-Newark-Jersey City, NY-NJ-PA","142","I Can Dance","47"
"War","Kimber","F","1","Norris","244.03546","free","New York-Newark-Jersey City, NY-NJ-PA","142","The World Is A Ghetto","47"
"Kanye West / Consequence / Cam'Ron","Tegan","F","0","Levine","333.34812","paid","Portland-South Portland, ME","409","Gone","80"
"David Banner","Tegan","F","1","Levine","232.75057","paid","Portland-South Portland, ME","409","Play","80"
"Kreator","Devin","M","0","Larson","287.9473","free","Tampa-St. Petersburg-Clearwater, FL","271","Second awakening","60"
"Cipher","Tegan","F","2","Levine","311.2224","paid","Portland-South Portland, ME","409","Protoculture (Sankofa)","80"
"Daft Punk","Tegan","F","3","Levine","416.522","paid","Portland-South Portland, ME","409","Emotion","80"
"Taylor Swift","Colm","M","0","Santana","233.89995","free","Nashville-Davidson--Murfreesboro--Franklin, TN","66","Love Story","67"
"The Police","Tegan","F","4","Levine","289.2273","paid","Portland-South Portland, ME","409","Message In A Bottle","80"
"JayMay","Tegan","F","5","Levine","590.91546","paid","Portland-South Portland, ME","409","You'd Rather Run","80"
"Amy Adams","Martin","M","1","Johnson","128.62649","free","Minneapolis-St. Paul-Bloomington, MN-WI","331","Happy Working Song","55"
"Shinedown","Tegan","F","6","Levine","220.39465","paid","Portland-South Portland, ME","409","Second Chance (Album Version)","80"
"Amy Winehouse","Martin","M","2","Johnson","141.24363","free","Minneapolis-St. Paul-Bloomington, MN-WI","331","Some Unholy War","55"
"T.I. & DJ Drama","Tegan","F","7","Levine","245.9424","paid","Portland-South Portland, ME","409","Ride Wit Me","80"
"Gang Starr","Lily","F","0","Koch","194.2722","paid","Chicago-Naperville-Elgin, IL-IN-WI","362","Soliloquy Of Chaos (Explicit)","15"
"Benny Benassi","Tegan","F","8","Levine","207.49016","paid","Portland-South Portland, ME","409","Who's Your Daddy? ","80"
"Paramore","Lily","F","2","Koch","215.09179","paid","Chicago-Naperville-Elgin, IL-IN-WI","362","When It Rains (Album Version)","15"
"Metallica","Tegan","F","9","Levine","319.73832","paid","Portland-South Portland, ME","409","Mama Said","80"
"A-Ha","Lily","F","3","Koch","246.25587","paid","Chicago-Naperville-Elgin, IL-IN-WI","362","Forever Not Yours (Album Version  - NY Mix II)","15"
"Easy Star All-Stars","Tegan","F","10","Levine","244.81914","paid","Portland-South Portland, ME","409","Lovely Rita (feat. Bunny Rugs and U Roy)","80"
"Alter Bridge","Lily","F","4","Koch","286.35383","paid","Chicago-Naperville-Elgin, IL-IN-WI","362","Down To My Last","15"
"O Terco","Tegan","F","11","Levine","431.20281","paid","Portland-South Portland, ME","409","Mudanca De Tempo","80"
"Nightwish","Lily","F","5","Koch","330.97098","paid","Chicago-Naperville-Elgin, IL-IN-WI","362","Walking In The Air","15"
"Augustana","Tegan","F","12","Levine","196.70159","paid","Portland-South Portland, ME","409","Mayfield","80"
"Anita Ward","Lily","F","6","Koch","491.93751","paid","Chicago-Naperville-Elgin, IL-IN-WI","362","Ring My Bell","15"
"Gaz Nevada","Tegan","F","13","Levine","390.21669","paid","Portland-South Portland, ME","409","I C Love Affair","80"
"Flamin' Groovies","Lily","F","7","Koch","299.65016","paid","Chicago-Naperville-Elgin, IL-IN-WI","362","Slow Death","15"
"isis","Tegan","F","14","Levine","406.12526","paid","Portland-South Portland, ME","409","Carry","80"
"Five Iron Frenzy","Lily","F","11","Koch","236.09424","paid","Chicago-Naperville-Elgin, IL-IN-WI","362","Canada","15"
"Frankie HI-NRG MC","Lily","F","12","Koch","104.09751","paid","Chicago-Naperville-Elgin, IL-IN-WI","362","Pace E Guerra","15"
"Alliance Ethnik","Tegan","F","0","Levine","252.21179","paid","Portland-South Portland, ME","416","ReprÃÂ©sente","80"
"Pavement","Tegan","F","1","Levine","99.16036","paid","Portland-South Portland, ME","416","Mercy:The Laundromat","80"
"4 Skins","Tegan","F","2","Levine","165.51138","paid","Portland-South Portland, ME","416","Clockwork Skinhead","80"
"Thrice","Tegan","F","3","Levine","249.46893","paid","Portland-South Portland, ME","416","Wood And Wire","80"
"Van Halen","Jayden","M","0","Fox","289.38404","free","New Orleans-Metairie, LA","408","Best Of Both Worlds (Remastered Album Version)","101"
"Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner","Theodore","M","0","Harris","277.15873","free","Red Bluff, CA","340","Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile)","14"
"Hot Chip","Ann","F","0","Banks","230.29506","free","Salt Lake City, UT","227","My Brother Is Watching Me","99"
"Lasgo","Tegan","F","4","Levine","192.80934","paid","Portland-South Portland, ME","416","Over You","80"
"Peter Sellers","Jayden","M","1","Fox","142.39302","free","New Orleans-Metairie, LA","408","She Loves You","101"
"Alphaville","Lily","F","0","Burns","285.43955","free","New York-Newark-Jersey City, NY-NJ-PA","363","Big In Japan (Original)","32"
"Eneida Marta","Tegan","F","5","Levine","223.55546","paid","Portland-South Portland, ME","416","Mindjer dÃÂ´ce mel","80"
"Astral Projection","Ann","F","1","Banks","585.42975","free","Salt Lake City, UT","227","Flying Into a Star","99"
"Gare du Nord","Tegan","F","6","Levine","221.98812","paid","Portland-South Portland, ME","416","Marvin & Miles","80"
"Florence + The Machine","Tegan","F","7","Levine","219.66322","paid","Portland-South Portland, ME","416","Dog Days Are Over (Radio Edit)","80"
"The White Stripes","Tegan","F","8","Levine","232.61995","paid","Portland-South Portland, ME","416","Seven Nation Army","80"
"Bouncing Souls","Ava","F","0","Robinson","66.01098","free","London, KY","108","East Side Mags","13"
"Coldplay","Ava","F","1","Robinson","311.27465","free","London, KY","108","The Scientist","13"
"Kings Of Leon","Tegan","F","9","Levine","201.79546","paid","Portland-South Portland, ME","416","Revelry","80"
"Mad Caddies","Tegan","F","10","Levine","181.81179","paid","Portland-South Portland, ME","416","Backyard","80"
"Phil Collins","Cecilia","F","0","Owens","239.85587","free","Atlanta-Sandy Springs-Roswell, GA","406","The Way You Look Tonight (Live Version)","6"
"Parachute","Tegan","F","11","Levine","230.5824","paid","Portland-South Portland, ME","416","The Mess I Made","80"
"Escape The Fate","Kinsley","F","1","Young","283.34975","free","Red Bluff, CA","368","My Apocalypse","85"
"Booka Shade","Tegan","F","12","Levine","336.45669","paid","Portland-South Portland, ME","416","Teenage Spaceman","80"
"Modern Lovers","Kinsley","F","5","Young","180.27057","paid","Red Bluff, CA","368","Modern world","85"
"Tub Ring","Cecilia","F","0","Owens","233.69098","free","Atlanta-Sandy Springs-Roswell, GA","423","Invalid","6"
"Black Box","Tegan","F","13","Levine","247.03955","paid","Portland-South Portland, ME","416","Everybody Everybody","80"
"Cass Phang","Kinsley","F","6","Young","249.05098","paid","Red Bluff, CA","368","Ye Feng Ling","85"
"Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner","Tegan","F","14","Levine","277.15873","paid","Portland-South Portland, ME","416","Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile)","80"
"Adina Howard","Kinsley","F","7","Young","210.33751","paid","Red Bluff, CA","368","Buttnaked","85"
"Queens Of The Stone Age","Tegan","F","15","Levine","254.77179","paid","Portland-South Portland, ME","416","No One Knows","80"
"Mondo Marcio","Kinsley","F","8","Young","218.06975","paid","Red Bluff, CA","368","Il Solo Rimasto","85"
"Steve Miller Band","Tegan","F","16","Levine","242.46812","paid","Portland-South Portland, ME","416","Living In The U.S.A. (1991 Digital Remaster)","80"
"Lil Wayne / Eminem","Kinsley","F","9","Young","229.58975","paid","Red Bluff, CA","368","Drop The World","85"
"4hero feat. FACE","Kinsley","F","10","Young","304.71791","paid","Red Bluff, CA","368","Stoke Up The Fire","85"
"Toby Keith","Tegan","F","17","Levine","238.44526","paid","Portland-South Portland, ME","416","Whiskey Girl","80"
"Los Fabulosos Cadillacs","Tegan","F","18","Levine","353.93261","paid","Portland-South Portland, ME","416","Muy_ Muy Temprano","80"
"Amon Amarth","Kinsley","F","11","Young","257.27955","paid","Red Bluff, CA","368","Under The Northern Star","85"
"Markus KrunegÃÂ¥rd","Jacob","M","0","Rogers","185.5473","free","San Diego-Carlsbad, CA","17","Genom tunna tyger","18"
"Michael B.","Jacob","M","1","Rogers","197.3024","free","San Diego-Carlsbad, CA","17","Geh Deinen Weg","18"
"The Serendipity Singers","Kinsley","F","12","Young","163.21261","paid","Red Bluff, CA","368","Don't Let The Rain Come Down (Crooked Little Man)","85"
"Sheena Easton","Tegan","F","19","Levine","239.62077","paid","Portland-South Portland, ME","416","Strut (1993 Digital Remaster)","80"
"Skillet","Kinsley","F","13","Young","210.02404","paid","Red Bluff, CA","368","Falling Inside The Black (Album Version)","85"
"The Bevis Frond","Tegan","F","20","Levine","265.32526","paid","Portland-South Portland, ME","416","Into The Cryptic Mist","80"
"Kingston Trio","Kinsley","F","14","Young","193.07057","paid","Red Bluff, CA","368","Greenback Dollar","85"
"The Black Keys","Tegan","F","21","Levine","269.29587","paid","Portland-South Portland, ME","416","Ten Cent Pistol","80"
"Jack Johnson","Kinsley","F","15","Young","141.87057","paid","Red Bluff, CA","368","Times Like These","85"
"Great White","Kinsley","F","16","Young","357.14567","paid","Red Bluff, CA","368","House Of Broken Love","85"
"Blind Melon","Tegan","F","22","Levine","217.15546","paid","Portland-South Portland, ME","416","No Rain","80"
"Aerosmith","Lily","F","0","Burns","301.76608","free","New York-Newark-Jersey City, NY-NJ-PA","420","Fly Away From Here","32"
"311","Tegan","F","23","Levine","191.79057","paid","Portland-South Portland, ME","416","Solar Flare","80"
"Haloo Helsinki!","Kinsley","F","17","Young","223.42485","paid","Red Bluff, CA","368","Kaaos ei karkaa","85"
"Dakota Oak","Tegan","F","24","Levine","45.63546","paid","Portland-South Portland, ME","416","Baker's Blue Jay Yarn","80"
"Bow Wow feat. Chris Brown and JohntÃÂ¡ Austin","Tegan","F","25","Levine","268.06812","paid","Portland-South Portland, ME","416","Shortie Like Mine","80"
"Angus & Julia Stone","Kinsley","F","18","Young","265.29914","paid","Red Bluff, CA","368","Hold On","85"
"Rammstein","Tegan","F","26","Levine","228.46649","paid","Portland-South Portland, ME","416","Adios","80"
"The Avett Brothers","Kinsley","F","19","Young","233.84771","paid","Red Bluff, CA","368","Shame","85"
"Jose Cid","Tegan","F","27","Levine","202.23955","paid","Portland-South Portland, ME","416","Madrugada Na Praia Deserta","80"
"A Perfect Circle","Kinsley","F","20","Young","291.52608","paid","Red Bluff, CA","368","Vanishing","85"
"Ron Carter","Tegan","F","28","Levine","497.13587","paid","Portland-South Portland, ME","416","I CAN'T GET STARTED","80"
"Muse","Tegan","F","29","Levine","255.08526","paid","Portland-South Portland, ME","416","Do We Need This?","80"
"The Black Keys","Tegan","F","30","Levine","191.76444","paid","Portland-South Portland, ME","416","Howlin For You","80"
"Linkin Park","Adler","M","0","Barrera","164.41424","free","New York-Newark-Jersey City, NY-NJ-PA","341","Bleed It Out (Album Version)","100"
"Jonny L","Tegan","F","31","Levine","401.52771","paid","Portland-South Portland, ME","416","Microdaze","80"
"Dangerdoom","Tegan","F","32","Levine","146.85995","paid","Portland-South Portland, ME","416","Crosshairs","80"
"Jack Johnson","Tegan","F","33","Levine","212.68853","paid","Portland-South Portland, ME","416","Breakdown","80"
"Foo Fighters","Tegan","F","34","Levine","271.38567","paid","Portland-South Portland, ME","416","The Pretender","80"
"Sleater-kinney","Tegan","F","35","Levine","264.4371","paid","Portland-South Portland, ME","416","Jumpers (Album)","80"
"Interpol","Tegan","F","36","Levine","276.63628","paid","Portland-South Portland, ME","416","Pace Is The Trick","80"
"Leonard Cohen","Tegan","F","37","Levine","365.94893","paid","Portland-South Portland, ME","416","Dance Me To The End Of Love","80"
"Art Pepper","Matthew","M","0","Jones","311.90159","free","Janesville-Beloit, WI","392","Star Eyes","36"
"Trapt","Tegan","F","38","Levine","285.98812","paid","Portland-South Portland, ME","416","Headstrong (Album Version)","80"
"Sidewalk Prophets","Matthew","M","1","Jones","260.62322","free","Janesville-Beloit, WI","392","You Love Me Anyway (Album)","36"
"Pearl Jam","Tegan","F","39","Levine","352.88771","paid","Portland-South Portland, ME","416","Not For You","80"
"Nach","Matthew","M","5","Jones","182.41261","paid","Janesville-Beloit, WI","392","El Juego Del Rap","36"
"U.S. Bombs","Ava","F","0","Robinson","214.85669","free","New Haven-Milford, CT","360","U.S. Bombs","50"
"Vasco Rossi","Matthew","M","6","Jones","233.53424","paid","Janesville-Beloit, WI","392","Colpa Del Whisky (Andrea Paci Radio Edit)","36"
"Bruce Springsteen","Tegan","F","40","Levine","195.7873","paid","Portland-South Portland, ME","416","Streets Of Philadelphia","80"
"Usher","Ava","F","1","Robinson","224.10404","free","New Haven-Milford, CT","360","Hey Daddy (Daddy's Home)","50"
"Martin Orford","Matthew","M","7","Jones","597.55057","paid","Janesville-Beloit, WI","392","Grand Designs","36"
"Curtis Stigers","Tegan","F","42","Levine","259.49995","paid","Portland-South Portland, ME","416","Columbus Avenue","80"
"ManÃÂ¡","Ava","F","2","Robinson","262.81751","free","New Haven-Milford, CT","360","Mariposa traicionera","50"
"Mariah Carey","Ryan","M","0","Smith","242.18077","free","San Jose-Sunnyvale-Santa Clara, CA","397","Obsessed","26"
"Jack Johnson","Tegan","F","43","Levine","236.93016","paid","Portland-South Portland, ME","416","Bubble Toes","80"
"Bill Withers","Ava","F","3","Robinson","383.73832","free","New Haven-Milford, CT","360","Make Love To Your Mind","50"
"Postal Service","Ryan","M","1","Smith","307.53914","free","San Jose-Sunnyvale-Santa Clara, CA","397","Natural Anthem (Album)","26"
"Sara Bareilles","Tegan","F","44","Levine","253.02159","paid","Portland-South Portland, ME","416","Love On The Rocks","80"
"Gillian Welch","Matthew","M","8","Jones","237.26975","paid","Janesville-Beloit, WI","392","Pass You By","36"
"M83","Ava","F","4","Robinson","367.5424","free","New Haven-Milford, CT","360","Gone","50"
"Okkervil River","Ryan","M","2","Smith","278.54322","free","San Jose-Sunnyvale-Santa Clara, CA","397","Unless It's Kicks","26"
"1200 Mics","Matthew","M","9","Jones","483.39546","paid","Janesville-Beloit, WI","392","DNA","36"
"Chasen","Tegan","F","46","Levine","166.16444","paid","Portland-South Portland, ME","416","Crazy Beautiful","80"
"Jonas Steur","Tegan","F","47","Levine","481.38404","paid","Portland-South Portland, ME","416","Sonrisa","80"
"Franz Ferdinand","Matthew","M","10","Jones","204.14649","paid","Janesville-Beloit, WI","392","Call Me","36"
"Recycler","Matthew","M","11","Jones","323.52608","paid","Janesville-Beloit, WI","392","Kromozom Bankal (Linathaleyco Mix)","36"
"Red Hot Chili Peppers","Ryan","M","1","Smith","107.31057","free","San Jose-Sunnyvale-Santa Clara, CA","431","Pea (Album Version)","26"
"Sunny Day Real Estate","Ryan","M","2","Smith","198.97424","free","San Jose-Sunnyvale-Santa Clara, CA","431","Red Elephant","26"
"Alice In Chains","Tegan","F","48","Levine","282.30485","paid","Portland-South Portland, ME","416","Your Decision","80"
"Bell Orchestre","Matthew","M","12","Jones","137.82159","paid","Janesville-Beloit, WI","392","Stripes","36"
"Linkin Park","Jacob","M","1","Rogers","494.99383","free","San Diego-Carlsbad, CA","425","Bleed It Out [Live At Milton Keynes]","18"
"Sam Cooke","Ryan","M","3","Smith","122.04363","free","San Jose-Sunnyvale-Santa Clara, CA","431","Ain't Misbehavin","26"
